"id";"name";"path";"status";"is_dismissable";"is_flash";"text_message";"duration"
1;"Advert updated";"success";1;0;1;"Your advert {advert_title} has been updated.";"3d"
2;"Advert refreshed";"success";1;0;1;"Your advert {advert_title} has been refreshed.";"3d"
3;"Advert live";"info";1;1;0;"Your advert {advert_title} is live.";"3d"
4;"Share on facebook / twitter";"promotional";1;1;0;"Increase your chances! Share your advert {advert_title} on <a href='{url_facebook_share}' target='_blank'>Facebook</a> or <a href='{url_twitter_share}' target='_blank'>Twitter</a> and let your friends know what you are selling!";"3d"
5;"Advert rejected";"error";1;1;0;"Your advert {advert_title} was rejected. Read our <a href='javascript:void(0)'>FAQ</a>";"3d"
6;"Advert live for 7 days";"info";1;1;0;"It's been a week since you posted your ad {advert_title}. <br> <a href='{url_mark_advert_as_sold}'>I've sold it.</a> or <a href='{url_to_refresh_advert}'>Get it noticed and refresh your ad</a>";"3d"
7;"Advert live for 14 days";"info";1;1;0;"It's been a week since you posted your ad {advert_title}. <br> <a href='{url_mark_advert_as_sold}'>I've sold it.</a> or <a href='{url_to_refresh_advert}'>Get it noticed and refresh your ad</a>";"3d"
8;"Advert live for 21 days";"info";1;1;0;"It's been a week since you posted your ad {advert_title}. <br> <a href='{url_mark_advert_as_sold}'>I've sold it.</a> or <a href='{url_to_refresh_advert}'>Get it noticed and refresh your ad</a>";"3d"
9;"Advert live for 24 days";"info";1;1;0;"Your advert {advert_title} expires in 4 days. <a href='{url_mark_advert_as_sold}'>I've sold it.</a>. Read our guides for helpful tips about selling quicker!";"1d"
10;"Advert expired";"info";1;1;0;"Your ad {advert_title} has expired. <a href='{url_mark_advert_as_sold}'>I've sold it.</a> or  <a href='{url_to_edit_advert}'>repost your advert.</a>";"7d"
11;"4 days to print date";"warning";1;1;0;"You have 1 day to edit your ad {advert_title} before it's in print.";"1d"
12;"Renew print";;1;0;0;"Your print booking for {advert_title} expired. <a href='{url_to_upgrade_advert}'>Upgrade</a> your advert to print.";"3d"
13;"No photos";"warning";1;1;0;"Ads with photos get more viewings, <a href='{url_to_edit_advert}'>upload photos</a> to your advert {advert_title}.";"7d"
14;"Advert upgraded";"success";1;1;0;"You have upgraded your ad {advert_title}!";"1d"
15;"Advert upgraded print";"success";1;1;0;"You have upgraded your ad {advert_title}! Your advert will go into print on {next_print_date}.";"1d"
16;"Advert incomplete";"warning";1;1;0;"You have incomplete advert {advert_title}. Click <a href='{url_to_edit_advert}'>here</a> to finish it.";"3d"
17;"Message from buyer/seller";"info";1;1;0;"You have a message from buyer about {advert_title}. <a href='{url_to_inbox}'>Read the message</a>";"3d"
18;"Message from seller";"info";1;1;0;"You have a message from seller about {advert_title}. <a href='{url_to_inbox}'>Read the message</a>";"3d"
19;"No profile photo";"warning";1;1;0;"Buyers trust seller with photos. Update your profile.";"7d"
20;"No facebook signup";"warning";1;1;0;"Verify yourself with Facebook and get this badge on your profile.";"7d"
21;"If profile incomplete";"warning";1;1;0;"Tell buyers a bit more about you. Buyers trust sellers they feel they know.";"7d"
22;"You have new review";"info";1;1;0;"You have been reviewed by {name}. <a href='{url_to_users_reviews}'>Read the review</a>'";"7d"
23;"You submitted review";"success";1;1;0;"Thank you, your review for {name} has been posted.";"3d"
24;"Free trial ends in 5 days";"promotional";1;1;0;"Your free trial ends in 5 days.";"3d"
25;"You have a new order";"info";1;1;0;"You have a <a href='{url_to_view_orders}'>new order.</a>";"3d"
26;"Leave review for buyer after buy now";"info";1;1;0;"Please <a href='{url_to_leave_review}'>leave a review</a> for buyer.";"7d"
27;"Leave review for seller after buy now";"info";1;1;0;"Please <a href='{url_to_leave_review}'>leave a review</a> for seller.";"7d"
28;"Leave review for buyer after contact";"info";1;1;0;"Please <a href='{url_to_leave_review}'>leave a review</a> for buyer.";"7d"
29;"Leave review for seller after contact";"info";1;1;0;"Please <a href='{url_to_leave_review}'>leave a review</a> for seller.";"7d"
